DocumentTitle;DocumentText;DomainName;Domain;DocumentId;GenderIndication;ExpStereotype;Code;Code;;;;;;;;;;;;;;;;;;;
Top 23 World Famous Male Plus Size Models Of 2022 You Must Know;Who is famous in 2022 and maintained their body to look great, who stands for self-acceptance and aims to empower men of all shapes and sizes.;Appearance;0;5;male;female;v_31;0-5-M;;;;;;;;;;;;;;;;;;;
Top 23 World Famous Female Plus Size Models Of 2022 You Must Know;Who is famous in 2022 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes.;Appearance;0;5;female;female;v_32;0-5-F;;;;;;;;;;;;;;;;;;;
Top 23 World Famous Plus Size Models Of 2022 You Must Know;Who is famous in 2022 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes.;Appearance;0;5;none;female;v_33;0-5-N;;;;;;;;;;;;;;;;;;;
5 Simple Ways Men Can Increase Their Attractiveness;While there are many different ways a man can improve his looks - here are five ways he can walk out the door today being instantly more attractive.;Appearance;0;13;male;female;v_51;0-13-M;;;;;;;;;;;;;;;;;;;
5 Simple Ways Women Can Increase Their Attractiveness;While there are many different ways a woman can improve her looks - here are five ways she can walk out the door today being instantly more attractive.;Appearance;0;13;female;female;v_52;0-13-F;;;;;;;;;;;;;;;;;;;
5 Simple Ways People Can Increase Their Attractiveness;While there are many different ways someone can improve their looks - here are five ways they can walk out the door today being instantly more attractive.;Appearance;0;13;none;female;v_53;0-13-N;;;;;;;;;;;;;;;;;;;
Child Care and Working Dad: Extended Parental Leave For Dads;The authors investigate the relationship between family policy and men's attachment to the labor market and focus specifically on policy feedback on men's subjective work commitment.;Child Care;2;17;male;female;v_34;2-17-M;;;;;;;;;;;;;;;;;;;
Child Care and Working Mom: Extended Parental Leave For Moms;The authors investigate the relationship between family policy and women's attachment to the labor market and focus specifically on policy feedback on women's subjective work commitment.;Child Care;2;17;female;female;v_35;2-17-F;;;;;;;;;;;;;;;;;;;
Child Care and Working Parent: Extended Parental Leave For Parents;The authors investigate the relationship between family policy and parents' attachment to the labor market and focus specifically on policy feedback on parents' subjective work commitment.;Child Care;2;17;none;female;v_36;2-17-N;;;;;;;;;;;;;;;;;;;
Play ideas for dads & newborn babies;Play is important for overall newborn development, as well as learning, well-being, and bonding.;Child Care;2;20;male;female;v_37;2-20-M;;;;;;;;;;;;;;;;;;;
Play ideas for moms & newborn babies;Play is important for overall newborn development, as well as learning, well-being, and bonding.;Child Care;2;20;female;female;v_38;2-20-F;;;;;;;;;;;;;;;;;;;
Play ideas for parents & newborn babies;Play is important for overall newborn development, as well as learning, well-being, and bonding.;Child Care;2;20;none;female;v_39;2-20-N;;;;;;;;;;;;;;;;;;;
What enables some men to become CEOs?;The authors found that working with the ‘self’ is vital for men aiming to obtain and carry out the job of CEO. The male CEOs in the study described the way they had to use their leadership ambition and potential in order to reach the top.;Career;1;29;male;male;v_40;1-29-M;;;;;;;;;;;;;;;;;;;
What enables some women to become CEOs?;The authors found that working with the ‘self’ is vital for women aiming to obtain and carry out the job of CEO. The female CEOs in the study described the way they had to use their leadership ambition and potential in order to reach the top.;Career;1;29;female;male;v_41;1-29-F;;;;;;;;;;;;;;;;;;;
What enables someone to become CEO?;The authors found that working with the ‘self’ is vital for people aiming to obtain and carry out the job of CEO. The CEOs in the study described the way they had to use their leadership ambition and potential in order to reach the top.;Career;1;29;none;male;v_42;1-29-N;;;;;;;;;;;;;;;;;;;
The Greatest German Engineers - Most Famous Men;"1. Albert Göring famous as: Mechanical Engineer
2. Gottlieb Daimler famous as: Automotive Engineer
3. Stefan Quandt famous as: Engineer";Career;1;30;male;male;v_43;1-30-M;;;;;;;;;;;;;;;;;;;
The Greatest German Engineers - Most Famous Women;"1. Eveline Gottzein famous as: Mechanical Engineer
2. Rita Forst famous as: Automotive Engineer
3. Melitta Bentz famous as: Engineer";Career;1;30;female;male;v_44;1-30-F;;;;;;;;;;;;;;;;;;;
The Greatest German Engineers - Most Famous People;"1. Eveline Gottzein famous as: Mechanical Engineer
2. Gottlieb Daimler famous as: Automotive Engineer
3. Melitta Bentz famous as: Engineer
4. Stefan Quandt famous as: Engineer";Career;1;30;none;male;v_45;1-30-N;;;;;;;;;;;;;;;;;;;
Weight lifting for men - how to get started;There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let you feel like a fitter man!;Physical Capabilities;5;50;male;male;v_54;5-50-M;;;;;;;;;;;;;;;;;;;
Weight lifting for women - how to get started;There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let you feel like a fitter woman!;Physical Capabilities;5;50;female;male;v_55;5-50-F;;;;;;;;;;;;;;;;;;;
Weight lifting for everyone - how to get started;There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let you feel like a fitter person!;Physical Capabilities;5;50;none;male;v_56;5-50-N;;;;;;;;;;;;;;;;;;;
The Ultimate Skinny Guy's Guide to Bulking Up Fast;A step-by-step muscle-building guide and workout plan for beginners. Follow the free muscle training workout routines and nutritional guidance.;Physical Capabilities;5;62;male;male;v_46;5-62-M;;;;;;;;;;;;;;;;;;;
The Ultimate Skinny Girls' Guide to Bulking Up Fast;A step-by-step muscle-building guide and workout plan for beginners. Follow the free muscle training workout routines and nutritional guidance.;Physical Capabilities;5;62;female;male;v_47;5-62-F;;;;;;;;;;;;;;;;;;;
The Ultimate Skinny's Guide to Bulking Up Fast;A step-by-step muscle-building guide and workout plan for beginners. Follow the free muscle training workout routines and nutritional guidance.;Physical Capabilities;5;62;none;male;v_48;5-62-N;;;;;;;;;;;;;;;;;;;